"country (iso3c)","W1","W2","W3","W4","W5"
"ALB",985,989,NA,NA,NA
"ARG",877,1268,752,NA,NA
"ARM",1864,NA,NA,NA,NA
"AUS",1811,NA,NA,855,1302
"AZE",1711,NA,NA,NA,NA
"BFA",NA,NA,NA,NA,1286
"BGD",1399,1459,NA,NA,NA
"BGR",882,NA,NA,NA,893
"BIH",1129,1139,NA,NA,NA
"BLR",1969,NA,997,NA,NA
"BRA",1092,NA,1669,NA,1482
"CAN",NA,1712,1460,1025,1813
"CHE",964,NA,927,NA,2182
"CHL",939,1142,1467,NA,NA
"CHN",1495,948,977,NA,1556
"COL",5883,NA,NA,NA,2774
"CYP",NA,NA,NA,NA,1036
"CZE",938,NA,921,NA,NA
"DEU",1695,NA,NA,NA,1842
"DOM",337,NA,NA,NA,NA
"DZA",NA,1029,NA,NA,NA
"EGY",NA,NA,NA,NA,3046
"ESP",879,857,1151,NA,1107
"EST",989,NA,NA,NA,NA
"ETH",NA,NA,NA,NA,1450
"FIN",911,NA,NA,NA,926
"FRA",NA,NA,NA,NA,881
"GBR",799,NA,NA,NA,NA
"GEO",1948,NA,NA,NA,NA
"GHA",NA,NA,NA,NA,1421
"HKG",NA,NA,NA,NA,1088
"HRV",1185,NA,NA,NA,NA
"IDN",NA,885,NA,NA,1730
"IND",1493,1962,2390,NA,1950
"IRN",NA,2224,NA,NA,2642
"IRQ",NA,2275,NA,NA,2565
"ISR",NA,957,NA,NA,NA
"ITA",NA,NA,NA,NA,668
"JOR",NA,1128,NA,NA,NA
"JPN",837,1215,860,1016,987
"KGZ",NA,1003,NA,NA,NA
"KOR",NA,1173,902,917,1195
"LTU",911,NA,NA,NA,NA
"LVA",1153,NA,NA,NA,NA
"MAR",NA,797,NA,NA,1192
"MDA",957,897,NA,NA,1028
"MEX",1297,1195,1434,NA,1392
"MKD",629,1020,NA,NA,NA
"MLI",NA,NA,NA,NA,1114
"MYS",NA,NA,NA,NA,1198
"NGA",1674,1938,886,NA,NA
"NLD",NA,NA,NA,NA,795
"NOR",1037,NA,NA,NA,NA
"NZL",1067,820,NA,NA,NA
"PAK",NA,1595,NA,NA,NA
"PER",1004,1490,NA,NA,NA
"PHL",NA,1192,NA,NA,NA
"POL",1088,NA,920,NA,923
"PRI",1086,684,NA,NA,NA
"ROU",1224,NA,NA,NA,1498
"RUS",1906,NA,1664,NA,1682
"RWA",NA,NA,NA,NA,1411
"SAU",NA,1356,NA,NA,NA
"SGP",NA,1428,NA,NA,NA
"SLV",NA,1031,NA,NA,NA
"SRB",1189,1016,NA,NA,1147
"SVK",935,NA,462,NA,NA
"SVN",NA,NA,NA,NA,984
"SWE",949,971,NA,855,951
"THA",NA,NA,NA,NA,1497
"TTO",NA,NA,NA,NA,983
"TUR",1859,3193,1004,NA,1319
"TZA",NA,1051,NA,NA,NA
"UGA",NA,550,NA,NA,NA
"UKR",2191,NA,NA,NA,965
"URY",928,NA,NA,NA,970
"USA",1372,1129,1692,1914,1151
"VEN",1136,1005,NA,NA,NA
"VNM",NA,975,NA,NA,1467
"ZAF",2453,2547,2422,NA,NA
"ZMB",NA,NA,NA,NA,1252
"ZWE",NA,836,NA,NA,NA
